"grupa","predyktor","OR"
"chlodne","wind_speed_10m",4.44828430372476
"chlodne","wind_speed_100m",1.84459397319157
"chlodne","wind_gusts_10m",0.122885426837874
"chlodne","wind_dir_sin",1.11876386423256
"chlodne","wind_dir_cos",0.957563700477639
"chlodne","pressure_msl",1.03084804596846
"chlodne","precipitation",0.879009430551391
"chlodne","cloud_cover",0.915837072860269
"chlodne","shortwave_radiation",0.47449002457883
"chlodne","is_day",1.31045713371516
"chlodne","sin_dzien",1.28405891569156
"chlodne","cos_dzien",0.185911211386929
"chlodne","sin_godzina",2.73464284792402
"chlodne","cos_godzina",0.0301492716771198
"cieple","wind_speed_10m",4.74780292515012
"cieple","wind_speed_100m",2.70443156105016
"cieple","wind_gusts_10m",0.183732664569898
"cieple","wind_dir_sin",1.124516687571
"cieple","wind_dir_cos",1.06421512776998
"cieple","pressure_msl",1.04453374103738
"cieple","precipitation",0.987718286357629
"cieple","cloud_cover",0.960393306522162
"cieple","shortwave_radiation",0.78454332253933
"cieple","is_day",3.48147632687305
"cieple","sin_dzien",1.06828707617176
"cieple","cos_dzien",0.458412104986378
"cieple","sin_godzina",1.55065293741678
"cieple","cos_godzina",0.233576353800628
