"good_hours","obserwowane","poisson_oczekiwane","ZIP_reduced_oczekiwane"
0,915,18.7427381654807,914.423956084798
1,280,95.6301026702849,35.8124094787447
2,311,256.285211973386,114.333906270377
3,316,482.407223544715,252.974689783251
4,338,719.822698925503,437.633198343196
5,400,911.193973472234,633.12459143882
6,424,1022.21453597676,799.773402219291
7,960,1047.38852134485,908.873919397365
8,1016,1001.30774390302,949.221326972259
9,807,906.692459962037,925.215188202253
10,735,785.847866799563,850.982420560693
11,687,656.657404510674,744.395597671139
12,617,531.6595213198,622.744833921173
13,562,418.579021760746,500.260750627526
14,447,321.327698497603,387.085344490428
15,416,241.04501980829,289.233610008839
16,333,177.027612030124,209.174708787564
17,437,127.495911607095,146.730923722486
