"parametr","coefficient_lambda_1se"
"(Intercept)",6.72094722405908
"wind_speed_10m",0.590070649846335
"wind_speed_100m",0.0457800271521767
"wind_gusts_10m",0.579929877488122
"wind_dir_sin",0
"wind_dir_cos",-0.0266552561210714
"temperature_2m",0
"relative_humidity_2m",0
"dew_point_2m",0
"apparent_temperature",0
"precipitation",0.464007647647913
"cloud_cover",0.00406504459373823
"pressure_msl",-0.00608138465280346
"shortwave_radiation",0.00329376650437402
"is_day",0
"sin_dzien",0
"cos_dzien",0
"sin_godzina",0.68112185551951
"cos_godzina",-0.299366448497619
"polrocze_cieple",0
