"parametr","coefficient_lambda_1se"
"(Intercept)",1.90508796206609
"wind_speed_10m",0.963281174065005
"wind_speed_100m",0.0414648725354687
"wind_gusts_10m",-0.0280158204700429
"wind_dir_sin",0.0774738551018129
"wind_dir_cos",-0.113207505058346
"temperature_2m",-0.000692107741632291
"relative_humidity_2m",0.00640574954265372
"dew_point_2m",0
"apparent_temperature",0
"precipitation",0.130751684657593
"cloud_cover",0.00136551376990156
"pressure_msl",-0.00207096889942128
"shortwave_radiation",0.00052790355428557
"is_day",-0.0757732052036591
"sin_dzien",0
"cos_dzien",0
"sin_godzina",0.260277640512083
"cos_godzina",-0.12542504194438
"polrocze_cieple",0
