"parametr","coefficient_lambda_min"
"(Intercept)",8.23602590313082
"wind_speed_10m",0.578996110317183
"wind_speed_100m",0.0681522254051633
"wind_gusts_10m",0.570047111770859
"wind_dir_sin",0
"wind_dir_cos",-0.0892255288133038
"temperature_2m",0
"relative_humidity_2m",0
"dew_point_2m",0
"apparent_temperature",0
"precipitation",0.614983196145214
"cloud_cover",0.00566197481068317
"pressure_msl",-0.00787082153369812
"shortwave_radiation",0.00392038729331171
"is_day",0
"sin_dzien",0
"cos_dzien",0
"sin_godzina",0.746484540990696
"cos_godzina",-0.319010698969211
"polrocze_cieple",0
