"parametr","coefficient_lambda_min"
"(Intercept)",3.31306744152332
"wind_speed_10m",0.984763691076177
"wind_speed_100m",0.0501786114357173
"wind_gusts_10m",-0.0493664303322083
"wind_dir_sin",0.0823500302400735
"wind_dir_cos",-0.104677172400168
"temperature_2m",-0.00346319852849359
"relative_humidity_2m",0.00641325179233899
"dew_point_2m",0
"apparent_temperature",0
"precipitation",0.186982786226646
"cloud_cover",0.00169801684999713
"pressure_msl",-0.00343187412653439
"shortwave_radiation",0.000876982431196784
"is_day",-0.12449258632403
"sin_dzien",-0.0210048388466471
"cos_dzien",0
"sin_godzina",0.26009492809299
"cos_godzina",-0.162155296526123
"polrocze_cieple",0
