"parametr","coefficient_lambda_1se"
"(Intercept)",31.7986050176428
"wind_speed_10m",0.505819591500627
"wind_speed_100m",0.280407223210432
"wind_gusts_10m",0.381778845107082
"wind_dir_sin",-0.122139784121781
"wind_dir_cos",0.2096168868364
"temperature_2m",0.0199534477408109
"relative_humidity_2m",-0.0231470139480319
"dew_point_2m",0.00831423208640755
"apparent_temperature",-0.0481302545102284
"precipitation",1.06685457969982
"cloud_cover",0.0095490146741067
"pressure_msl",-0.0283002772297108
"shortwave_radiation",0.00582663978705697
"is_day",0.240112291404069
"sin_dzien",-0.254640225977564
"cos_dzien",-0.00314488356857746
"sin_godzina",0.657507343927482
"cos_godzina",-0.658334492801887
"polrocze_cieple",-0.106574268121252
