"parametr","coefficient_lambda_1se"
"(Intercept)",6.81686256654897
"wind_speed_10m",0.413986418881893
"wind_speed_100m",0.219363376808442
"wind_gusts_10m",0.131802566145232
"wind_dir_sin",0.139624678285049
"wind_dir_cos",0.00811884903512277
"temperature_2m",0.00276711411311297
"relative_humidity_2m",0.00684460173683446
"dew_point_2m",0.00859792026613542
"apparent_temperature",-0.0486106830162753
"precipitation",-0.00539748668635757
"cloud_cover",0.00284029769760462
"pressure_msl",-0.00674852562417768
"shortwave_radiation",0.000950113618742927
"is_day",-0.0510010227551986
"sin_dzien",-0.276324228253365
"cos_dzien",-0.156171312093396
"sin_godzina",0.320712130236926
"cos_godzina",-0.218690741101127
"polrocze_cieple",0.0343926732129747
