"liczba_zmiennych","rsq","adjr2","cp","bic","rss"
1,0.958129572183266,0.958129389500125,94977.8241702716,-727263.962438479,1948399.70183243
2,0.965479658796891,0.965479357567016,38073.351997021,-771494.143111017,1606370.55827764
3,0.967671170907104,0.967670747745659,21108.0386206081,-786514.820305208,1504390.67020986
4,0.96932806477137,0.969327529470529,8281.89256772955,-798560.935117207,1427288.72309734
5,0.969711882038031,0.969711221282294,5312.26954435121,-801434.800757516,1409428.1592838
6,0.969943203616706,0.969942416762111,3523.31174046287,-803179.654847478,1398663.83423582
7,0.9701273647061,0.970126452329754,2099.48392918872,-804575.958277472,1390094.07676321
8,0.970266814011657,0.970265776158837,1021.82753281941,-805636.05144239,1383604.93873582
9,0.970307636094605,0.970306470108126,707.771294374543,-805938.60334915,1381705.32274449
10,0.970336073111849,0.970334778806437,489.603775873373,-806145.875009679,1380382.03375968
11,0.970355472887531,0.970354050076472,341.405165566015,-806283.474503268,1379479.28403571
12,0.970359463488117,0.97035791153277,312.508794796391,-806301.987877482,1379293.58531235
13,0.970375273043323,0.970373592647789,192.106697967101,-806411.927425476,1378557.9030121
14,0.970390027969825,0.970388219206523,79.8698381152935,-806513.768641812,1377871.29683453
15,0.970396465165705,0.970394527617883,32.0312270189752,-806551.259482379,1377571.74817481
16,0.97039805924589,0.970395992630484,21.6894024334033,-806551.259291683,1377497.56920128
17,0.970399046334483,0.970396850619252,16.0470803088101,-806546.559805836,1377451.63599208
18,0.970399051188231,0.970396726303517,18.0095012056408,-806534.255042313,1377451.41012764
19,0.970399052415414,0.970396598359833,20,-806521.922198447,1377451.35302185
