"liczba_zmiennych","rsq","adjr2","cp","bic","rss"
1,0.95597179083297,0.955971598735302,10259.9516530989,-715746.541200672,763067.440294598
2,0.956631861126063,0.956631482688928,6672.04638303482,-719196.364750021,751627.543953275
3,0.957072821825135,0.957072259938817,4275.80614399866,-721526.412104984,743985.108381243
4,0.95720453399949,0.957203787113167,3561.46693922166,-722218.395265998,741702.361168883
5,0.957332307389169,0.957331376564654,2868.54948909619,-722891.390448846,739487.878335171
6,0.957462210375378,0.957461096781807,2164.04986371953,-723577.915284339,737236.486760332
7,0.957543730179313,0.95754243347094,1722.69045666512,-724005.233389846,735823.640103639
8,0.957621437611617,0.957619958365144,1302.06528527272,-724412.776845424,734476.866919321
9,0.957669006439867,0.957667344148299,1045.35407070562,-724657.84888188,733652.435839854
10,0.957727496849192,0.957725652402574,729.243968064315,-724962.418861924,732638.719230201
11,0.957769981431361,0.957767954570307,500.184296059975,-725180.54122573,731902.404899449
12,0.957797366034836,0.957795156337875,353.248442767799,-725316.874155653,731427.793288559
13,0.957823987501636,0.957821595162859,210.46303890727,-725449.156404416,730966.407851536
14,0.957845016777582,0.957842441686105,98.0917221928248,-725551.122897782,730601.942521895
15,0.957850915950053,0.957848157297532,68.0080629774893,-725570.856926772,730499.702014677
16,0.957853679308042,0.957850736925433,54.9790675611875,-725573.54170815,730451.80934433
17,0.95785582092071,0.957852694784406,45.3315404963505,-725572.846119199,730414.692347576
18,0.957860908214686,0.957857598573128,19.6634214435762,-725588.172435924,730326.522774813
19,0.957861214065397,0.957857720564977,20,-725577.493650593,730321.221975083
