"parametr","estimate","std_error","t_value","p_value"
"(Intercept)",6.76098999082239,0.638134367328979,10.5949316272084,3.19000810164314e-26
"wind_speed_10m",0.587753345021307,0.00426587602995763,137.780221669298,0
"wind_speed_100m",0.0892133817287922,0.00243280151095898,36.671048306619,1.51272777352743e-293
"wind_gusts_10m",0.56438226982894,0.00162745072645972,346.789159667322,0
"wind_dir_cos",-0.105750289406411,0.00894353036778046,-11.824222097728,2.98995018418751e-32
"relative_humidity_2m",0.0390223624946875,0.00239673135323849,16.2814920587408,1.44288227327429e-59
"dew_point_2m",-0.223155301140318,0.0141108194784537,-15.8144820349422,2.6482326998117e-56
"apparent_temperature",0.173046497340218,0.0112552933383561,15.3746767976721,2.57381812649839e-53
"precipitation",0.697899229273724,0.0180033981908,38.7648610488635,0
"cloud_cover",0.0063338443071922,0.00015834301670079,40.0007808311549,0
"pressure_msl",-0.00981880744035175,0.000584443691098245,-16.8002625229831,2.65168667188473e-63
"shortwave_radiation",0.00444437578820622,5.58699719760274e-05,79.5485594679232,0
"is_day",-0.141240052833098,0.0200073741922823,-7.05939977308868,1.67694988403776e-12
"sin_dzien",-0.0771920760046096,0.00954506152320605,-8.08712189197937,6.13854737398118e-16
"sin_godzina",0.785383990268138,0.00754372233509337,104.110935607284,0
"cos_godzina",-0.405786914427867,0.0158598978548004,-25.5857205476922,3.51260779884366e-144
