"parametr","estimate","std_error","t_value","p_value"
"(Intercept)",3.96489024308774,0.513426063367905,7.72241716183898,1.14602504748647e-14
"wind_speed_10m",1.01464172150866,0.00330580406904552,306.927361790567,0
"wind_speed_100m",0.0614716829774588,0.00185039756337256,33.2207976243871,2.03240072583203e-241
"wind_gusts_10m",-0.0652841126718046,0.00119481460606154,-54.6395334812653,0
"wind_dir_sin",0.0757103073163128,0.00549109568496122,13.7878324582223,3.13942889551586e-43
"wind_dir_cos",-0.099294407620868,0.00657550718887262,-15.1006461963723,1.69790399480593e-51
"temperature_2m",-0.0989675829192781,0.0153184887749836,-6.46066229985431,1.04453420283031e-10
"relative_humidity_2m",0.0160739675370762,0.00265672588782149,6.05029205713684,1.44806385891993e-09
"dew_point_2m",-0.0753773410583239,0.013637330148299,-5.52727991759632,3.25586519789629e-08
"apparent_temperature",0.131894942455856,0.0100218864016612,13.1606902303336,1.52699511059664e-39
"precipitation",0.212374171275531,0.0131972503706989,16.0923044808677,3.10964436295179e-58
"cloud_cover",0.00201651455587035,0.000116223467149586,17.3503218009748,2.16645759093269e-67
"pressure_msl",-0.00467411535127539,0.000427614825978415,-10.9306671970053,8.35534329959949e-28
"shortwave_radiation",0.00104785343287585,4.07020562569813e-05,25.7444839214018,6.00375420710292e-146
"is_day",-0.161437334470723,0.0149130060825832,-10.8252711476638,2.65314635476948e-27
"sin_dzien",-0.0665188769290729,0.0083300257310037,-7.98543474859807,1.40669726857065e-15
"cos_dzien",-0.0681524214665577,0.0129566313378046,-5.26004172610081,1.44151603839634e-07
"sin_godzina",0.252067143118919,0.0055780365251094,45.1892241982003,0
"cos_godzina",-0.216416362548607,0.0123439058949262,-17.5322433912562,9.01756633986283e-69
