"grupa","srednie_p","czestosc_klasy_1","n"
"[0,0.1]",0.00583939037203498,0.00677248677248677,9450
"(0.1,0.2]",0.149059017554802,0.238636363636364,352
"(0.2,0.3]",0.282038295175122,0.46,50
"(0.3,0.4]",0.342893549048376,0.541176470588235,85
"(0.4,0.5]",0.428966941063715,1,9
"(0.5,0.6]",0.569272005250188,0.444444444444444,18
"(0.6,0.7]",0.64676901752301,0.875,64
"(0.7,0.8]",0.742581234664362,0.932203389830508,59
"(0.8,0.9]",0.831173247314141,0.940677966101695,118
"(0.9,1]",0.978435649863902,0.998242530755712,569
