"target","model","zmienna","importance"
"wind_gusts_10m_next","Drzewo 1SE","wind_gusts_10m",44388140.9901628
"wind_gusts_10m_next","Drzewo 1SE","wind_speed_10m",34589566.9145409
"wind_gusts_10m_next","Drzewo 1SE","wind_speed_100m",28561661.1112397
"wind_gusts_10m_next","Drzewo 1SE","pressure_msl",2290256.18777144
"wind_gusts_10m_next","Drzewo 1SE","wind_dir_sin",1427060.1420109
"wind_gusts_10m_next","Drzewo 1SE","precipitation",1234323.34826304
"wind_gusts_10m_next","Drzewo 1SE","relative_humidity_2m",601199.819269836
"wind_gusts_10m_next","Drzewo 1SE","cos_godzina",444025.825942242
"wind_gusts_10m_next","Drzewo 1SE","shortwave_radiation",285465.499286866
"wind_gusts_10m_next","Drzewo 1SE","sin_godzina",60458.7990628752
"wind_gusts_10m_next","Drzewo 1SE","is_day",32763.1728464544
"wind_gusts_10m_next","Drzewo 1SE","apparent_temperature",27663.3109896555
"wind_gusts_10m_next","Drzewo 1SE","temperature_2m",15882.3688564754
"wind_gusts_10m_next","Drzewo 1SE","cos_dzien",7864.43669233685
"wind_gusts_10m_next","Drzewo 1SE","wind_dir_cos",3525.80200642092
"wind_gusts_10m_next","Drzewo 1SE","sin_dzien",2244.87149763735
"wind_gusts_10m_next","Drzewo 1SE","dew_point_2m",2210.28659385358
