"target","model","zmienna","importance"
"wind_speed_10m_next","Drzewo 1SE","wind_speed_10m",16541527.971011
"wind_speed_10m_next","Drzewo 1SE","wind_gusts_10m",12715311.2475043
"wind_speed_10m_next","Drzewo 1SE","wind_speed_100m",12409489.363796
"wind_speed_10m_next","Drzewo 1SE","pressure_msl",925143.925068658
"wind_speed_10m_next","Drzewo 1SE","wind_dir_sin",547079.414507882
"wind_speed_10m_next","Drzewo 1SE","cos_dzien",454549.106820834
"wind_speed_10m_next","Drzewo 1SE","relative_humidity_2m",149525.563901186
"wind_speed_10m_next","Drzewo 1SE","apparent_temperature",72114.8494071266
"wind_speed_10m_next","Drzewo 1SE","wind_dir_cos",45036.2123510797
"wind_speed_10m_next","Drzewo 1SE","precipitation",2353.59724861747
"wind_speed_10m_next","Drzewo 1SE","polrocze_cieple",1251.50888233353
"wind_speed_10m_next","Drzewo 1SE","dew_point_2m",830.976461094761
"wind_speed_10m_next","Drzewo 1SE","temperature_2m",403.17565640581
"wind_speed_10m_next","Drzewo 1SE","cloud_cover",193.852806567856
"wind_speed_10m_next","Drzewo 1SE","shortwave_radiation",57.8185493137079
"wind_speed_10m_next","Drzewo 1SE","sin_dzien",9.94754995488422
