"target","model","zmienna","importance"
"wind_gusts_10m_next","Drzewo CV min","wind_gusts_10m",44389016.5882896
"wind_gusts_10m_next","Drzewo CV min","wind_speed_10m",34592479.9621548
"wind_gusts_10m_next","Drzewo CV min","wind_speed_100m",28569776.2174102
"wind_gusts_10m_next","Drzewo CV min","pressure_msl",2290256.18777144
"wind_gusts_10m_next","Drzewo CV min","wind_dir_sin",1427060.1420109
"wind_gusts_10m_next","Drzewo CV min","precipitation",1234323.34826304
"wind_gusts_10m_next","Drzewo CV min","relative_humidity_2m",603117.666982403
"wind_gusts_10m_next","Drzewo CV min","cos_godzina",448057.404846004
"wind_gusts_10m_next","Drzewo CV min","shortwave_radiation",291884.198962146
"wind_gusts_10m_next","Drzewo CV min","sin_godzina",60458.7990628752
"wind_gusts_10m_next","Drzewo CV min","is_day",36552.3469366091
"wind_gusts_10m_next","Drzewo CV min","apparent_temperature",27663.3109896555
"wind_gusts_10m_next","Drzewo CV min","temperature_2m",15882.3688564754
"wind_gusts_10m_next","Drzewo CV min","cos_dzien",9930.04311231905
"wind_gusts_10m_next","Drzewo CV min","wind_dir_cos",3525.80200642092
"wind_gusts_10m_next","Drzewo CV min","sin_dzien",2244.87149763735
"wind_gusts_10m_next","Drzewo CV min","dew_point_2m",2210.28659385358
