"target","model","zmienna","importance"
"wind_gusts_10m_next_event","Drzewo CV min","wind_gusts_10m",48991.6550045543
"wind_gusts_10m_next_event","Drzewo CV min","wind_speed_10m",38487.6726739552
"wind_gusts_10m_next_event","Drzewo CV min","wind_speed_100m",32578.9582779489
"wind_gusts_10m_next_event","Drzewo CV min","pressure_msl",593.869869503724
"wind_gusts_10m_next_event","Drzewo CV min","shortwave_radiation",254.803579941274
"wind_gusts_10m_next_event","Drzewo CV min","sin_godzina",199.207404593855
"wind_gusts_10m_next_event","Drzewo CV min","cos_godzina",164.066001694581
"wind_gusts_10m_next_event","Drzewo CV min","apparent_temperature",113.098411952761
"wind_gusts_10m_next_event","Drzewo CV min","cos_dzien",94.7731310143917
"wind_gusts_10m_next_event","Drzewo CV min","temperature_2m",82.6296008281165
"wind_gusts_10m_next_event","Drzewo CV min","relative_humidity_2m",80.4073473469797
"wind_gusts_10m_next_event","Drzewo CV min","is_day",73.4536194352548
"wind_gusts_10m_next_event","Drzewo CV min","polrocze_cieple",54.1318045748553
"wind_gusts_10m_next_event","Drzewo CV min","dew_point_2m",39.1079860755997
"wind_gusts_10m_next_event","Drzewo CV min","wind_dir_sin",21.5621513028837
"wind_gusts_10m_next_event","Drzewo CV min","wind_dir_cos",11.7099427168331
"wind_gusts_10m_next_event","Drzewo CV min","precipitation",8.2486802087397
"wind_gusts_10m_next_event","Drzewo CV min","sin_dzien",5.02953236395654
"wind_gusts_10m_next_event","Drzewo CV min","cloud_cover",3.12249113753108
