"target","model","zmienna","importance"
"wind_speed_10m_next_event","Drzewo CV min","wind_speed_10m",46767.5237928859
"wind_speed_10m_next_event","Drzewo CV min","wind_speed_100m",33738.7047278722
"wind_speed_10m_next_event","Drzewo CV min","wind_gusts_10m",33711.3976833209
"wind_speed_10m_next_event","Drzewo CV min","pressure_msl",515.532662551091
"wind_speed_10m_next_event","Drzewo CV min","sin_godzina",74.4512086276556
"wind_speed_10m_next_event","Drzewo CV min","shortwave_radiation",33.8311200561302
"wind_speed_10m_next_event","Drzewo CV min","temperature_2m",29.3916880958183
"wind_speed_10m_next_event","Drzewo CV min","apparent_temperature",26.9397963108477
"wind_speed_10m_next_event","Drzewo CV min","wind_dir_cos",23.8896052965162
"wind_speed_10m_next_event","Drzewo CV min","is_day",22.4039577933678
"wind_speed_10m_next_event","Drzewo CV min","cos_godzina",18.9845465811307
"wind_speed_10m_next_event","Drzewo CV min","wind_dir_sin",16.6682494893943
"wind_speed_10m_next_event","Drzewo CV min","cos_dzien",16.6485383679973
"wind_speed_10m_next_event","Drzewo CV min","precipitation",13.8924884551331
"wind_speed_10m_next_event","Drzewo CV min","dew_point_2m",12.3955879188502
"wind_speed_10m_next_event","Drzewo CV min","polrocze_cieple",9.09743440998262
"wind_speed_10m_next_event","Drzewo CV min","relative_humidity_2m",6.12377531277536
"wind_speed_10m_next_event","Drzewo CV min","sin_dzien",4.88433366510497
"wind_speed_10m_next_event","Drzewo CV min","cloud_cover",2.01960035480791
