"target","model","zmienna","importance"
"wind_gusts_10m_next","Drzewo duze","wind_gusts_10m",44389016.5882896
"wind_gusts_10m_next","Drzewo duze","wind_speed_10m",34592479.9621548
"wind_gusts_10m_next","Drzewo duze","wind_speed_100m",28569776.2174102
"wind_gusts_10m_next","Drzewo duze","pressure_msl",2290256.18777144
"wind_gusts_10m_next","Drzewo duze","wind_dir_sin",1427060.1420109
"wind_gusts_10m_next","Drzewo duze","precipitation",1234323.34826304
"wind_gusts_10m_next","Drzewo duze","relative_humidity_2m",603117.666982403
"wind_gusts_10m_next","Drzewo duze","cos_godzina",448057.404846004
"wind_gusts_10m_next","Drzewo duze","shortwave_radiation",291884.198962146
"wind_gusts_10m_next","Drzewo duze","sin_godzina",60458.7990628752
"wind_gusts_10m_next","Drzewo duze","is_day",36552.3469366091
"wind_gusts_10m_next","Drzewo duze","apparent_temperature",27663.3109896555
"wind_gusts_10m_next","Drzewo duze","temperature_2m",15882.3688564754
"wind_gusts_10m_next","Drzewo duze","cos_dzien",9930.04311231905
"wind_gusts_10m_next","Drzewo duze","wind_dir_cos",3525.80200642092
"wind_gusts_10m_next","Drzewo duze","sin_dzien",2244.87149763735
"wind_gusts_10m_next","Drzewo duze","dew_point_2m",2210.28659385358
