"target","model","zmienna","importance"
"wind_gusts_10m_next_event","Drzewo duze","wind_gusts_10m",49128.8369244263
"wind_gusts_10m_next_event","Drzewo duze","wind_speed_10m",38585.8391408013
"wind_gusts_10m_next_event","Drzewo duze","wind_speed_100m",32692.938581249
"wind_gusts_10m_next_event","Drzewo duze","pressure_msl",598.863699882039
"wind_gusts_10m_next_event","Drzewo duze","shortwave_radiation",339.471412189849
"wind_gusts_10m_next_event","Drzewo duze","sin_godzina",249.767980585185
"wind_gusts_10m_next_event","Drzewo duze","cos_godzina",186.092378602452
"wind_gusts_10m_next_event","Drzewo duze","apparent_temperature",156.5884224787
"wind_gusts_10m_next_event","Drzewo duze","cos_dzien",136.057880024595
"wind_gusts_10m_next_event","Drzewo duze","temperature_2m",129.080368508735
"wind_gusts_10m_next_event","Drzewo duze","relative_humidity_2m",113.714455975674
"wind_gusts_10m_next_event","Drzewo duze","is_day",86.7351961851845
"wind_gusts_10m_next_event","Drzewo duze","polrocze_cieple",77.4034968580562
"wind_gusts_10m_next_event","Drzewo duze","dew_point_2m",66.5664706098906
"wind_gusts_10m_next_event","Drzewo duze","wind_dir_sin",51.7900700011761
"wind_gusts_10m_next_event","Drzewo duze","wind_dir_cos",33.1571867312341
"wind_gusts_10m_next_event","Drzewo duze","cloud_cover",33.0866250057734
"wind_gusts_10m_next_event","Drzewo duze","precipitation",29.9803180737598
"wind_gusts_10m_next_event","Drzewo duze","sin_dzien",22.1206134582003
