iter	Accuracy	MultiClass
0	0.7029411765	1.532253165
1	0.7148823529	1.328158397
2	0.7253529412	1.180870449
3	0.7265294118	1.07778113
4	0.7305882353	0.994818285
5	0.737	0.9275969361
6	0.7424117647	0.8722135351
7	0.7447647059	0.824678437
8	0.7473529412	0.7873503777
9	0.7535882353	0.7522751226
10	0.7585294118	0.7200320056
11	0.7605882353	0.6946614602
12	0.7641176471	0.67064364
13	0.7667058824	0.6514544399
14	0.7698823529	0.6345603951
15	0.7720588235	0.6183643414
16	0.7749411765	0.6042340103
17	0.7768823529	0.5919021973
18	0.781	0.5800005363
19	0.7830588235	0.5691518496
20	0.7871764706	0.5597692274
21	0.7892352941	0.5510266059
22	0.7927647059	0.5415243531
23	0.7949411765	0.5319720676
24	0.7978823529	0.5243115348
25	0.7985294118	0.5192303411
26	0.8006470588	0.5123996185
27	0.8025294118	0.5067154984
28	0.8046470588	0.5021350232
29	0.8052352941	0.4953178851
30	0.8068823529	0.4906517924
31	0.809	0.4855188419
32	0.8104117647	0.4824930076
33	0.8123529412	0.4773063776
34	0.8144117647	0.4728381071
35	0.816	0.4686381143
36	0.8177647059	0.464255555
37	0.8199411765	0.4594103773
38	0.8217647059	0.4554478018
39	0.8241176471	0.4504894427
40	0.8251176471	0.446836488
41	0.829	0.4420416567
42	0.8309411765	0.4383318078
43	0.8323529412	0.4348547085
44	0.8332941176	0.4314508651
45	0.8347647059	0.4282449022
46	0.8356470588	0.4256332339
47	0.8364117647	0.4231459738
48	0.8369411765	0.4210734557
49	0.8388823529	0.4180780557
50	0.8407647059	0.4162483774
51	0.8420588235	0.4123926119
52	0.8437647059	0.4098689961
53	0.8445882353	0.4076846129
54	0.8455882353	0.4051682838
55	0.8461764706	0.4023534074
56	0.8482352941	0.4000289558
57	0.8500588235	0.397565518
58	0.8511764706	0.3954428879
59	0.8528235294	0.3928097085
60	0.8548235294	0.3895503971
61	0.8556470588	0.3884117367
62	0.8562941176	0.3866098587
63	0.8580588235	0.3846712833
64	0.8584705882	0.382001753
65	0.8598823529	0.3799872476
66	0.8604705882	0.377116055
67	0.8628235294	0.3750975347
68	0.8638235294	0.3723220305
69	0.8649411765	0.3705224055
70	0.8657058824	0.3680834476
71	0.8675294118	0.3657277112
72	0.868	0.3638775479
73	0.8697647059	0.3613175843
74	0.8707647059	0.3599777545
75	0.8714705882	0.3580991526
76	0.8727647059	0.3557203297
77	0.8734117647	0.3539044378
78	0.8747058824	0.3521769494
79	0.8772352941	0.3501846058
80	0.8777647059	0.3478869019
81	0.8784117647	0.3463216377
82	0.879	0.3444220325
83	0.8798823529	0.3429608829
