iter	Passed	Remaining
0	186	135256
1	374	135506
2	560	134783
3	733	132261
4	909	130925
5	1075	128930
6	1254	128710
7	1458	130714
8	1634	130016
9	1814	129734
10	1994	129441
11	2165	128694
12	2342	128297
13	2507	127330
14	2680	126891
15	2852	126395
16	3021	125822
17	3188	125224
18	3399	126312
19	3609	127247
20	3838	128687
21	4074	130194
22	4291	130992
23	4519	132010
24	4735	132592
25	4956	133244
26	5200	134440
27	5418	134883
28	5625	135001
29	5847	135471
30	6063	135753
31	6282	136064
32	6491	136114
33	6703	136238
34	6926	136546
35	7133	136533
36	7337	136446
37	7548	136476
38	7753	136374
39	7987	136778
40	8198	136780
41	8388	136409
42	8561	135794
43	8739	135270
44	8931	134967
45	9108	134449
46	9292	134043
47	9458	133400
48	9671	133426
49	9846	132927
50	10020	132431
51	10200	132012
52	10399	131853
53	10570	131351
54	10750	130966
55	10936	130657
56	11118	130302
57	11291	129848
58	11457	129330
59	11629	128898
60	11800	128452
61	11970	128007
62	12133	127498
63	12301	127046
64	12469	126610
65	12633	126146
66	12804	125748
67	12980	125410
68	13162	125136
69	13339	124818
70	13556	124876
71	13768	124876
72	13989	124951
73	14215	125056
74	14419	124965
75	14626	124905
76	14845	124930
77	15067	124985
78	15265	124827
79	15484	124845
80	15694	124780
81	15945	125037
82	16172	125094
83	16428	125368
84	16647	125342
85	16877	125405
86	17116	125519
87	17343	125543
88	17588	125687
89	17824	125763
90	18046	125729
91	18278	125761
92	18476	125560
93	18643	125151
94	18814	124770
95	18986	124398
96	19160	124049
97	19330	123677
98	19498	123294
99	19662	122892
100	19838	122564
101	20026	122320
102	20208	122034
103	20379	121687
104	20582	121534
105	20750	121177
106	20937	120930
107	21118	120649
108	21293	120335
109	21467	120020
110	21630	119649
111	21803	119336
112	21977	119031
113	22147	118703
114	22329	118442
115	22497	118113
116	22671	117814
117	22859	117590
118	23073	117502
119	23239	117163
120	23414	116880
121	23592	116609
122	23804	116507
123	24032	116481
124	24234	116326
125	24456	116264
126	24668	116154
127	24885	116065
128	25119	116055
129	25333	115947
130	25554	115871
131	25769	115767
132	25989	115681
133	26189	115505
134	26411	115429
135	26626	115316
136	26829	115153
137	27050	115062
138	27260	114925
139	27466	114771
140	27683	114659
141	27921	114637
142	28147	114558
143	28370	114468
144	28587	114349
145	28769	114094
146	28954	113848
147	29136	113591
148	29303	113281
149	29474	112986
150	29645	112691
151	29817	112402
152	29996	112144
153	30171	111868
154	30342	111583
155	30521	111326
156	30691	111036
157	30872	110789
158	31058	110560
159	31237	110308
160	31414	110049
161	31593	109795
162	31764	109517
163	31944	109273
164	32120	109014
165	32290	108735
166	32474	108506
167	32641	108220
168	32822	107984
169	32993	107712
170	33164	107443
171	33329	107157
172	33498	106884
173	33661	106595
174	33896	106533
175	34112	106407
176	34316	106244
177	34528	106108
178	34742	105973
179	34979	105910
180	35195	105779
181	35401	105619
182	35609	105465
183	35823	105327
184	36043	105207
185	36254	105060
186	36459	104894
187	36675	104758
188	36902	104654
189	37125	104537
190	37342	104403
191	37563	104276
192	37767	104104
193	37989	103982
194	38194	103811
195	38403	103650
196	38615	103497
197	38823	103333
198	39007	103105
199	39179	102845
200	39350	102584
201	39520	102323
202	39695	102074
203	39870	101825
204	40038	101561
205	40202	101287
206	40371	101026
207	40534	100752
208	40702	100490
209	40879	100251
210	41049	99998
211	41217	99738
212	41392	99497
213	41563	99246
214	41731	98991
215	41931	98811
216	42116	98595
217	42299	98375
218	42477	98143
219	42657	97917
220	42835	97687
